DESCHAMBAULT-RAMCO,53301,DST
CATHERINE,53401,CTH
FRANCOIS,53501,FRN
NOTRE-DAME DU ROSAIRE,53601,NDR
HILAIRE,53701,HLR
TINGWICK,53801,TIN
EDOUARD,53901,EDR
MONT SUTTON/ROUND TOP RIDGE,54102,MST
CHAPAIS,54201,CAP
VILLEROY,54301,VIL
SAINT-ANICET,54401,ANI
L'ASSOMPTION,54501,ASM
MURDOCHVILLE-PARC,54601,MUR
BECANCOUR (ARENA),54703,BCR
STUKELY,54801,STU
DITTON,54901,DTN
MONT SAINT-MICHEL,55001,MSM
BELL,55101,BLL
LEMIEUX,55201,LMX
L'ACADIE,55301,LCD
ROY,55401,ROY
FRELIGHSBURG,55501,FRL
MINGAN,55601,MNG
PARC GEORGES MARANDA,55702,PGN
OTTAWA DOWNTOWN,60104,OTC
OTTAWA CENTRAL,60106,OTT
WINDSOR DOWNTOWN,60204,WDN
WINDSOR WEST,60211,GWI
WINDSOR E,60212,EWI
WINDSOR F,60213,FWI
WINDSOR D,60214,DWI
WINDSOR B,60215,BWI
WINDSOR C,60216,CWI
KINGSTON,60304,KST
TORONTO EAST,60410,TRE
ETOBICOKE,60413,ETO
MISSISSAUGA B,60415,MIB
TORONTO G,60418,TRG
TORONTO NORTH,60421,TRN
TORONTO DOWNTOWN,60424,TRD
TORONTO E,60426,TR2
TORONTO F,60427,TRF
BRAMPTON,60428,BRM
ETOBICOKE B,60429,ETB
TORONTO WEST,60430,TRW
DOWNSVIEW,60431,DOW
FRANK MCKECHNIE COMMERCIAL CNT,60432,FMC
MISSISSAUGA,60434,MSS
HANLAN'S POINT(TORONTO ISLAND),60436,HAN
YORK UNIVERSITY,60437,YOR
467 BEACH BLVD.,60511,HAE
HAMILTON DOWNTOWN,60512,HAD
HAMILTON MOUNTAIN,60513,HAM
HAMILTON WEST,60515,HMW
HARBOUR BAY FRONT,60516,HDD
CONFEDERATION PARK,60517,HCP
GERTRUDE & DEPEW ST.,60520,HCC
SUDBURY C,60605,SUC
SUDBURY B,60607,SUB
SUDBURY D,60608,SDD
SUDBURY,60609,SUD
SUDBURY,60610,SUY
SAULT STE MARIE 2,60707,SS2
SAULT STE MARIE 3,60708,SS3
SAULT STE MARIE,60709,SSM
THUNDER BAY B,60807,TBB
THUNDER BAY,60808,THB
THUNDER BAY C,60809,TBC
LONDON,60903,LND
LONDON,60904,LOD
SARNIA,61004,SAR
SARNIA EAST,61005,SAE
SARNIA SOUTH,61006,SAS
SARNIA,61008,SA1
SARNIA,61009,SA2
PETERBOROUGH,61104,PRB
MEMORIAL PARK (CORNWALL),61201,COR
ST CATHARINES,61302,SCT
ST CATHARINES B,61303,SCB
BRANTFORD,61402,BNF
KITCHENER,61502,KTC
OAKVILLE B,61602,OKB
OAKVILLE,61603,OKL
OSHAWA,61702,OSA
GUELPH,61802,GUL
BEAR CREEK,61902,BER
NORTH BAY,62001,NBA
MERLIN,62201,MER
PARKHILL,62401,PKH
TIVERTON,62501,TIV
SIMCOE,62601,SIM
LONG POINT PROV PARK,62701,LPP
BURLINGTON,63001,BLT
STOUFFVILLE,63201,STV
DORSET,63301,DOR
LONGWOODS,63601,LNW
GRAND BEND,63701,GBE
NANTICOKE,63802,NAN
EXPERIMENTAL LAKES,64001,FKD
ALGOMA,64101,ALG
EGBERT,64401,EGB
FT FRANCES,64502,FTF
PT PETRE,64601,PTP
BEACHVILLE,64801,BEV
THOROLD,64901,THR
BARRIE,65001,BAR
NEWMARKET,65101,NMR
PARRY SOUND,65201,PSD
PORT STANLEY,65301,PSL
WATER TREATMENT PLANT (BELLEVI,65401,BLV
BURNT ISLAND,65501,BIS
ESSEX,65601,ESX
MORRISBURG,65701,MRG
CHATHAM,65801,CTM
PICKLE LAKE,65901,PKL
FRASERDALE,66001,FRA
BONNER LAKE,66101,BOL
PETAWAWA,66201,PEW
CITY OF WINNIPEG FLOOD PUMP ST,70118,FPS
WINNIPEG - 65 ELLEN STREET,70119,ELL
ASSINIBOINE COMM. COLLEGE,70203,BDN
FLIN FLON,70301,PBU
THOMPSON,70501,THO
REGINA,80110,REG
CORMAN PARK,80211,SKT
PRINCE ALBERT,80402,PAL
BRATT'S LAKE,80901,BLK
SPEEDY CREEK,81001,SPC
PINEHOUSE LAKE,82001,PNL
EDMONTON SOUTH,90120,EMS
EDMONTON EAST,90121,EES
EDMONTON CENTRAL,90130,EMC
SHERWOOD PARK,90131,SHP
EDMONTON MCINTYRE,90132,EDM
WOODCROFT,90133,ENW
CALGARY EAST,90218,CLE
CALGARY NORTH-WEST,90222,CNW
CALGARY CENTRAL,90227,CLC
CALGARY CENTRAL 2,90228,CC2
CALGARY SOUTHEAST,90229,CA0
RED DEER - RIVERSIDE DRIVE,90302,RDR
RED DEER - LANCASTER,90304,RLA
CRESCENT HEIGHTS,90402,MED
LETHBRIDGE,90502,LBR
FORT SASKATCHEWAN,90601,FSK
RANGE ROAD 220,90602,RR2
ROSS CREEK,90603,ROC
SCOTFORD,90604,SCO
STATION 401,90605,ST4
BRUDERHEIM,90606,BRU
FORT MCMURRAY ATHABASCA VALLEY,90701,FMA
FORT MCMURRAY PATRICIA MCINNES,90702,FMP
MILLENNIUM,90703,MIL
FORT MCKAY,90801,FMK
LOWER CAMP,90802,LOC
MILDRED LAKE,90803,MDL
MANNIX,90804,MAN
BUFFALO VIEWPOINT,90805,BUV
SYNCRUDE UE1,90806,SYN
ESTHER,91001,ESR
ELK ISLAND NATIONAL PARK,91101,EIN
HIGHTOWER RIDGE,91201,HTR
TOMAHAWK,91301,TMH
VIOLET GROVE,91401,VGR
BEAVERLODGE,91501,BLG
CARROT CREEK,91601,CCR
STEEPER,91701,STE
FORT CHIPEWYAN,91801,FTC
CAROLINE,91901,CAR
HENRY PIRKER STATION,92001,GRP
ALBIAN MINE SITE,92101,ASI
LAMONT,92201,LAT
REDWATER,92301,RED
ACME GRAINGER,92401,ACM
BRETON,92601,BRE
CROSSFIELD-CARSTAIRS(PORTABLE),92701,CCA
DRAYTON VALLEY,92801,DRV
EDSON,92901,EDS
EVERGREEN PARK,93001,EVP
GENESEE,93101,GEN
HINTON,93202,HIN
JAMES RIVER,93301,JRI
LACOMBE,93401,LAM
LIBERTY PARK,93501,LPA
LIMESTONE MOUNTAIN,93601,LIM
MALMO,93701,MLM
MEADOWS,93801,MEA
POWERS,93901,POW
SMOKY HEIGHTS,94001,SHT
SUNDRE TOWNSIDE,94101,SUT
WAGNER,94201,WA1
WAGNER 2,94202,WG2
COLD LAKE SOUTH,94301,CDL
ST. LINA,94401,SLA
CROFTON SUBSTATION,100051,CRO
QUADRA ISLAND - CAPE MUDGE VIL,100082,CMV
KENSINGTON PARK,100110,KNP
ROCKY PT. PARK,100111,RPP
ROBSON SQUARE,100112,RSQ
KITSILANO,100118,KLN
BURNABY SOUTH,100119,BRS
SECOND NARROWS,100121,SDN
NORTH DELTA,100125,NOD
BURNABY MOUNTAIN,100126,BRB
SURREY EAST,100127,SRY
RICHMOND SOUTH,100128,RMS
PORT COQUITLAM NORTH,100129,PCN
SEYMOUR FALLS,100131,SEF
MAHON PARK,100132,MNP
BURMOUNT,100133,BUR
VANCOUVER INTL. AIRPORT,100134,VIA
DOUGLAS COLLEGE,100135,DGC
CAPITOL HILL,100136,CAH
BURNABY NORTH,100137,BUN
HORSHESHOE BAY,100138,HOB
TSAWWASSEN,100140,TWW
PRINCE GEORGE PLAZA 400,100202,PRP
PRINCE GEORGE BC RAIL WAREHOUS,100203,PRS
VAN BIEN SCHOOL,100204,VBS
PRINCE GEORGE GLADSTONE SCHOOL,100205,GLS
PRINCE GEORGE LAKEWOOD,100206,LAK
CNR SITE,100207,CNR
GLENVIEW SCHOOL,100209,GES
PRINCE GEORGE CBC TRANSMITTER,100210,CBC
PRINCE GEORGE JAIL,100211,PGJ
PRINCE GEORGE MARSULEX ACID PL,100212,MAR
PRINCE GEORGE EXPLORATION PLAC,100214,PGX
VICTORIA TOPAZ,100304,VIC
OAK BAY REC. CENTRE,100305,OBR
CAMOSUN COLLEGE,100306,CAC
ROYAL ROADS UNIVERSITY,100307,RRU
COLWOOD CITY HALL,100308,CCH
KEATING,100309,KEA
BRAEFOOT,100310,BRA
DND HOSPITAL AIR STATION,100311,DND
ESQUIMALT GRAVING DOCK,100312,EGD
SAANICH STELLYS CROSS ROAD,100314,SCR
LANGFORD LAKEWOOD ELEMENTARY S,100316,LES
JAMES BAY DANIELS ELECTRONICS,100317,JBD
FEDERAL BUILDING,100401,FEB
KAMLOOPS BROCKLEHURST,100402,KAM
AIR - MOE OFFICE,100602,MOE
KELOWNA COLLEGE,100701,KEL
KELOWNA,100702,KEW
KEREMEOS CENTRAL,100801,KER
CENTRAL ABBOTSFORD,101003,CAB
ABBOTSFORD AIRPORT,101005,ABA
CHILLIWACK AIRPORT,101101,CHW
MEADOWLANDS ELEM. SCHOOL,101202,MES
LANGLEY CENTRAL,101301,LAC
HOPE AIRPORT,101401,HOA
GOLDEN EARS ELEM. SCHOOL,101501,GEA
SQUAMISH,101601,SQ1
SQU GOVERNMENT BUILDING,101602,SQ2
SQUAMISH ELEMENTARY,101603,SQE
QUESNEL SENIOR SECONDARY,101701,QUS
QUESNEL MAPLE DRIVE,101702,QUM
QUESNEL PINECREST CENTRE,101703,QUC
CORRELIEU SCHOOL,101704,COS
CRESTON PC SCHOOL,101801,CPC
CRESTON PIPER FARMS,101803,CPF
CRANBROOK GREEN,101903,CRG
SATURNA,102001,SAT
LABIEUX ROAD,102102,NNA
HARMAC,102103,HAR
BUTLER PARK,102201,BUT
TRAIL WEST,102202,TWE
SECHEKT TRAIL BAY MALL,102203,SEC
CRANBERRY LAKE,102301,CRA
WILDWOOD MOTORS,102302,MOT
POWELL RIVER JAMES THOMPSON SC,102303,PRT
SMITHERS ST JOSEPHS,102401,SMT
TERRACE BC ACCESS CENTRE,102501,TER
BC HYDRO BUILDING,102502,BCH
TERRACE SKEENA MIDDLE SCHOOL,102503,SKE
PORT ALBERNI TOWNSIDE,102601,PAT
PORT ALBERNI ELEMENTARY,102602,OIE
WILLIAMS LAKE COLUMNEETZA SCHO,102701,WKC
SKYLINE SCHOOL,102702,SKS
FIREHALL,102703,FIH
WATER TOWER,102704,TWR
168 MILE ROAD,102705,MLR
WILLIAMS LAKE CRD LIBRARY,102706,WLL
ELK FALLS DOGWOOD,102801,ELF
TYEE SPIT,102802,TYE
B.C. ACCESS CENTRE,102901,BCA
JOHNSON LAKE,103001,JHL
FOREST SERVICE COMPOUND,103101,FSC
RADIUM PM10,103102,RAD
LADY GREY SCHOOL,103201,LGS
GOLDEN HOSPITAL,103202,GHO
GOLDEN CPR,103203,GCP
GOLDEN GOLF COURSE,103204,GCO
GOLDEN TOWNSITE,103205,GTO
GOVERNMENT BUILDING,103301,GBU
NELSON KUTENAI PLACE,103302,NLS
FIREHALL,103401,FEH
SENIOR CITIZEN CENTRE,103501,SCC
CASTLEGAR ZINIO PARK,103502,CIK
AGASSIZ,103601,SSZ
MISSION SECONDARY SCHOOL,103602,MIS
CHETWYND,103701,CHE
PINE RIVER GAS PLANT,103702,PRG
PINE RIVER HASLER,103704,PIN
FORT ST. JAMES,103801,FSJ
RIVERLODGE,103901,RVR
KITIMAT HAUL ROAD,103902,KHR
KITIMAT RAIL,103903,KRA
KITIMAT WHITESAIL,103904,KWH
KITIMAT HAISLA VILLAGE,103905,KVI
KITIMAT RIO TINTO ALCAN,103906,RTA
RCMP BUILDING,104001,RCM
COLDSTREAM RANCH,104002,COL
VERNON SCIENCE CENTRE,104003,VSC
GRAND FORKS CITY HALL,104101,CIH
MERRIT SCHOOL,104201,MEC
TAYLOR TOWNSITE,104301,TAT
TAYLOR SOUTH HILL,104302,TSH
BESSBOROUGH 237 ROAD,104303,BSR
FARMINGTON COMMUNITY HALL,104304,FAC
TOMSLAKE 197 ROAD EAST,104305,TOM
PORT EDWARD PACIFIC,104401,PEP
QUADAR ISLAND LIGHTHOUSE,104501,QIL
TELKWA,104601,TEL
GALLOWAY RAPIDS,104701,GAR
DUNCAN DEYKIN AVENUE,104801,DDA
CUNCAN SCRAN SCHOOL,104802,CSS
DUNCAN CAIRNSMORE,104803,DNC
GENELLE,104901,GEL
WHISTLER MEADOW PARK,105001,WHS
HOUSTON FIREHALL,105101,HOF
BURNS LAKE FIRE CENTRE,105201,FCE
LANGDALE ELEMENTARY,105301,LAN
BOSTON BAR RCMP STATION,105401,BBR
FORT ST. JOHN NP CULTURAL CENT,105501,NCC
FORT ST-JOHN - FEHR RESIDENCE,105502,FSF
DOIG RIVER CULTURAL CENTRE,105503,DRC
FORT ST JOHN KEY LEARNING CENT,105504,LC1
OSOYOOS SHAW GARDENS,105601,OSG
OSOYOOS CANADA CUSTOMS,105604,OYC
W.E. GRAHAM SCHOOL ROOF,105701,GSR
STEWART,105801,STW
CASTLEGAR FIRE HALL,105901,CFH
KOKANEE PARK,105902,KPA
HEIMBECKER'S PROPERTY,106001,HEP
VALEMOUNT,106101,VAL
COMINCO STATION,106201,CST
NEW AIYANSH,106301,NEA
ROBSON,106401,ROB
FORT NELSON CHALO SCHOOL,106502,FNC
CROFTON SUBSTATION,106701,CNS
CROFTON GEORGIA HEIGHTS,106702,ESW
UCLUELET AMPHITRITE POINT,106800,UAP
VANDERHOOF,106900,VND
RUMBLE BEACH HOSPITAL,107000,RLE
PORT ALICE LAKE ROAD,107001,PAR
COURTENAY ELEMENTARY SCHOOL,107100,CNE
STRATHNAVER MEADOWBANK,107200,STM
NAPS HOUSE,119003,NAH
STEELE STREET STATION,119004,SSS
POST OFFICE SITE,129001,POS
SIR JOHN FRANKLIN HS,129003,SJF
FORT LIARD,129103,FLI
INUVIK,129203,INU
WILDLIFE SERVICES GARAGE,129302,SEG
WATERLAB,129303,WTL
SNARE RAPIDS,129501,SHR
FORT SMITH,129601,FOS
WOOD BUFFALO PARK,129602,WOP
